Name,Transient killer whales_PWS,Resident killer whales_PWS,Humpback whale ( Mean N*Weight 25.234 t) Cheeseman et al. 2025,Humpback whale ( Mean N*Weight  25.234 t) PWS only,Other baleen whales- EN Gray Whales mt (Numbers*14.409t) = 10% of the time spent/ km2,Steller sea lion ADult N*0.295 tonnes,Harbor seal (N*upper weight 0.064 tonnes),Sea otter,Piscivorous surface birds: Chowiet biomass (t) divided by 650NMFS 300m isobar area,Piscivorous diving birds: Chowiet biomass (t) divided by 650NMFS 300m isobar area,Planktivorous diving birds: Chowiet bioamss (t) divided by 650NMFS 300m isobar area,Salmon returning,Salmon outgoing_race,Salmon outgoing_race,Pacific hake,Mature herring Sitka biomass (t) divided by 650NMFS 300m isobar area,Mature herring Craig biomass (t) divided by 650NMFS 300m isobar area,Pacific herring adult _race,Pacific sandlance_race,Pacific capelin_race,Shelf forage fish_race,Slope forage fish_race,Pacific dogfish_race,Salmon shark_race,Big skate_race,Longnose skate_race,Other skates_race,Pacific halibut adult_race,Arrowtooth flounder adult_race,Rex sole adult_race,Flathead sole adult_race,Shallow water flatfish_race,Deep-water flatfish_race,Pacific ocean perch adult_race,Slope rockfish_race,Demersal shelf rockfish_race,Pelagic shelf rockfish_race,Thornyheads adult_race,Sablefish adult_race,Pacific cod adult_race, Walleye pollock adult_race,Large sculpins_race,Lingcod_race,Atka mackerel_race,Shelf demersal fish_race,Slope demersal fish_race,Miscellaneous deep-sea fish_race,Squid_race,Octopus_race,Tanner crab_race,King crab_race,Pandalid shrimp_race,Motile epifauna_race,Sessile epifauna_race,Euphausiids_roms,Large copepods_roms,Small copepods_roms,Large microzooplankton_roms,Small microzooplankton_roms,Large phytoplankton_roms,Small phytoplankton_roms,Salmon_shark_combined_catch_akfin,Pacific halibut_combined_catch_akfin,Arrowtooth flounder_combined_catch_akfin,Rex sole_combined_catch_akfin,Flathead sole_combined_catch_akfin,Shallow water flatfish_combined_catch_akfin,Deep water flatfish__combined_catch_akfin,Pacific ocean perch_combine_catch_akfin,Slope rockfish_45_combined_catch_akfin,Demersal shelf rockfish_combine_catch_akfin,Pelagic shelf rockfish_combined_catch_akfin,Sablefish_49_combined_catch_akfin,Pacific cod_51_combined_catch_akfin,Walleye pollock_53_combined_catch_akfin,Large sculpins_55_combined_catch_akfin,Atka mackerel_57_combined_catch_akfin,Squid_61_combined_catch_akfin,Octopus_62_combined_akfin
Pool Code,1,2,5,5,6,11,12,13,14,16,17,18,19,19,20,21,21,21,23,24,25,26,27,28,30,31,32,33,35,37,39,41,42,43,45,46,47,48,49,51,53,55,56,57,58,59,60,61,62,63,64,65,67,69,75,76,77,78,79,80,81,28,33,35,37,39,42,42,43,45,46,47,49,51,53,55,57,61,62
Type,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1980,,,,0.1312168,,0.074481165,,,0.000011,0.000064,,0.478380877,0.623668372,,,1.344881662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81294313,15.9552231,52.77229614,121.5793425,41.04147695,14.05775975,13.22817454,,,,,,,,,,,,,,,,,,
1981,,,,0.13323552,,0.06897836,,,0.000012,0.000076,,0.581916693,0.982369904,,,1.247268625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.511991538,7.359971781,39.05779555,103.3305747,41.98849604,9.630518559,12.54164793,,,,,,,,,,,,,,,,,,
1982,,,,0.18496522,,0.063917013,,,,,,0.554847531,1.166951344,,,0.908713393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.188637956,7.436874974,36.49404269,101.8665296,41.99452628,9.632523907,13.10602048,,,,,,,,,,,,,,,,,,
1983,,,,0.17941374,,0.058967513,,,,,,0.42125664,0.919192909,,,1.129452275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.612544135,8.335870902,40.03073445,99.01301331,41.30186501,10.04356376,13.02284117,,,,,,,,,,,,,,,,,,
1984,0.006745,0.01688025,,0.16881546,1.442256392,0.054398776,,,,,,0.623838752,0.97213857,,,1.369577625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.528904321,5.353059189,42.81999189,111.7120717,41.78802176,10.47429617,13.27316385,,,,,,,,,,,,,,,,,,
1985,0.006745,0.01695125,,0.15821718,1.406781513,0.049725969,,,,,,0.48792217,0.815235402,,,1.148049125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.306448443,7.302369275,44.90901577,112.5754003,40.67784369,10.69664283,12.83861887,,,,,,,,,,,,,,,,,,
1986,0.006745,0.01673825,,0.21272262,,0.044749388,,,,,,0.512350438,1.061298553,,,0.892076973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.402540127,10.37190655,39.91824978,100.8100014,40.35635667,9.866363202,12.7666245,,,,,,,,,,,,,,,,,,
1987,0.006745,0.01691575,,0.24199406,1.651975533,0.039715383,,,,,,0.513934974,1.02096103,,,1.341369227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.234051209,8.651466687,41.69160903,99.61795991,37.97921291,10.15143564,12.75386122,,,,,,,,,,,,,,,,,,
